CONTENTID,CONTENTTYPEID,ADDR1,FIRSTIMAGE,OVERVIEW,TITLE,HOMEPAGE,ZIPCODE,TELNO
138184,32,제주특별자치도 서귀포시 표선면 민속해안로 537,http://tong.visitkorea.or.kr/cms/resource/95/1341195_image2_1.jpg,"자연속의 휴식처 그리고 비즈니스의 장으로 호평을 받고 있는 해비치리조트는 천혜의 자연조건을 갖춘 관광도시 제주의 동남부 해안선을 따라 펼쳐진 고급 리조트 콘도미니엄이다.<br />

해비치리조트는 해안선을 따라 펼쳐진 리조트풍의 객실과 다양한 부대시설 및 사계절 레저 센터인 윈터 가든을 갖추고 있다. 

고급스러운 인테리어와 리조트 풍 디자인의 전형적인 호텔식 콘도미니엄으로 주변의 표선 해수욕장과 제주의 푸른 바다를 함께 조망할 수 있는 넓은 창과 발코니 그리고 편안하고 고급스런 실내 분위기를 자랑한다.<br />

32평형 189실, 49평형 24실 등 총 215실로 구성되어 있으며 넓은 야외 수영장과 로비라운지, ‘이디’, 한일식당 ‘하노루’, 그리고 노래방과 가라오케 등의 부대시설을 비롯한 편의점과 게임방, 부티크샵 등의 편의시설을 갖추고 있다.

리조트 가든에 위치한 야외수영장은 제주도의 바다와 함께 조화를 이루어 휴가지의 낭만을 만끽할 수 있다. 어린이 수영장이 별도로 마련되어 가족이 함께 수영을 즐기기에 적당하며 풀사이드에 위치한 스낵바에서는 다양한 별미를 맛볼 수 있다. 

해비치리조트의 비즈니스센터는 호텔을 이용하는 비즈니스 고객을 위한 사무 장비와 넓은 10인용 보드룸이 구비되어 소규모 회의가 가능한 다기능 사무공간이다. <br>",해비치리조트,,63629,064-780-8000
551958,32,제주특별자치도 서귀포시 표선면 민속해안로 537,http://tong.visitkorea.or.kr/cms/resource/77/1378177_image2_1.jpg,"2007년 5월 24일 문을연해비치호텔&리조트는 현대 자동차 그룹 자회사로 503개 객실(호텔 288개, 리조트 215개)을 갖춘 제주도의  특1급 호텔이다. 제주의 민속과 문화, 자연이 가장 잘 보존된 표선에 위치하고 있으며, 제주도내 호텔 중 바다와 가장 가까운 곳에 위치하고 있으며 호텔 객실의 70%가 바다 전망을 즐길 수 있도록 설계돼 있다. 또한 호텔 객실이 약 47평방미터로 국내 최대 크기이며, 전 객실 킹사이즈 베드를 설치해 투객들에게 쾌적한 휴식을 제공하고 있다. 이 외에도 제주도내 단일 호텔에서는 최대 규모를 자랑하고 있는 6개의 대소 연회장이 마련돼 있어 14개의 개별 회의가 가능하며 동시 2,740명을 수용할 수 있다. 또한 섬모라, 하노루, 이디, 99-bar 등의 레스토랑, 카페, bar와 윈터가든 내 피트니스 센터와 수영장, SPA시설이 마련 돼 있다. <br>특히 해비치 호텔&리조트는 기술과 편리성을 갖춘 현대식 시설로 설계되었으며, 무엇보다 자연 채광의 실내 정원 느낌의 웅장한 아트리움이 호텔의 전체적인 컨셉트를 잘 반영하고 있다. 호텔 로비 바닥은 프랑스 루브르 박물관에 사용된 것과 같은 바닥재로 건축이 되었으며 지하에서 지상8층까지 이어지는 누드 엘리베이터가 특1급호텔다운 고급스러운 면모를 드러내고 있다. 또한 해비치 호텔&리조트는 해비치 컨트리 클럽 제주와 경기도 화성의 ‘롤링힐스 호텔’과 함께 하나의 법인으로 구성돼 있으며 모 기업의 브랜드 이미지에 걸맞는 고급 시설과 수준 높은 서비스를 제공하고 있다.<br>",해비치호텔,,63629,064-780-8000
404220,39,제주특별자치도 제주시 애월읍 애월로11길 23,http://tong.visitkorea.or.kr/cms/resource/91/401591_image2_1.jpg, 애월항 위치한 해송회센터는 신선한 회를 항구에서 직접 공급받아 손님들에게 차려진다. 제주 지역에서 잡히는 다양한 어종을 한 번에 맛 볼 수가 있어 인기가 많다. <br>,해송수산물회센타,,63043,064-799-1662
664204,39,제주특별자치도 서귀포시 성산읍 일출로 260,http://tong.visitkorea.or.kr/cms/resource/15/1937215_image2_1.jpg,해오름식당은 성산일출봉 입구에 위치하여 찾기 쉽고 여유롭게 제주의 특별한 맛을 음미할 수 있는 곳으로 여행객들이 많이 찾는 맛집이다.<br>,해오름식당,,63643,064-782-2256
664982,39,제주특별자치도 서귀포시 태평로 122,http://tong.visitkorea.or.kr/cms/resource/20/1937220_image2_1.jpg,"30년 넘는 전통의 해운대가든은 2대에 걸쳐 이어져 오고 있으며, 제주도 청정 암돼지 갈비는 엄선된 천연 재료로 만든 양념으로 만들어져 아주 독특한 맛을 낸다. 직장인이나 관광객들의 간단한 점심 식사를 위해 마련한 정식메뉴를 비롯하여 뚝배기, 건강식 장수 해물탕, 매콤한 맛이 일품인 갈치조림, 얼큰한 된장찌개 등은 해운대가든의 전통 메뉴로 사랑받고 있다. 특히 해운대가든에서는 화학조미료를 사용하지 않는것이 특징이다.<br />겨울을 제외한 계절에는 테라스에서 가벼운 음료나 맥주 등을 즐길 수 있으며, 식사 후 가볍게 연인이나 가족들과 산책할 수 있는 정원도 있어서 좋다.<br>",해운대가든,,63571,"064-738-6939, 739-7347"
1308810,39,제주특별자치도 제주시 서부두길 22,http://tong.visitkorea.or.kr/cms/resource/26/1937226_image2_1.jpg,제주시 탑동 서부두 방파제 입구에 위치한 해진횟집은 2층과 3층이 한쪽이 유리벽으로 되어있어 바다의 전경을 한눈에 볼 수 있고 푸른 바다를 바라보며 싱싱한 회와 바다의 멋을 함께 즐길 수 있는 곳이다.  <br>,해진횟집,,63276,064-757-8889
134980,39,제주특별자치도 서귀포시 성산읍 일출로 220,http://tong.visitkorea.or.kr/cms/resource/34/1937234_image2_1.jpg,"해촌 갈치요리전문점에서는 창밖으로 성산일출
 봉이 한눈에 내다 보이고 파란 바다가 펼쳐져 있는 경치가 아름다운 집으로 건물 바로 밑이 바다여서 마치 바다위의 선상에서 식사를 하는 것처럼 느껴질 수도 있다. <br/>식탁이 모두 원목 테이블로 되어 있어 화사한 분위기를 느낄
 수 있으며, 바다를 바라보며 식사 할 수 있는 곳이다.<br>",해촌,,63643,064-784-8001
138320,32,제주특별자치도 서귀포시 표선면 돈오름로 170,http://tong.visitkorea.or.kr/cms/resource/57/1934057_image2_1.jpg,"허브동산의 주요 테마는 “쉴休”, 봄날 오후 같은 편안하고 조용한 휴식이다. 번잡한 일상과 긴장된 도시 생활의 피로를 털어 버리고, “몸과 마음에 쉼을 주자,  실컷 게으름을 피워도 하나 바쁠 것 없는, 느리게 사는 여유를 마음껏 누리자”, 이것이 허브동산이  추구하는 것이다. 계절마다 진한 향기를 토해내는 허브로 이루어진 허브체험 정원, 나날이 꽃이 피고 지는 초록의 천국에서 몸과 마음을 100% 충전하고 삶의 현장으로 돌아갈 수 있을것이다.<br>",허브동산 향기펜션,,63628,064-787-7362
129619,12,제주특별자치도 제주시 한림읍 한림로 300,,"협재굴은 황금굴, 소천굴, 쌍용굴, 만장굴과 더불어 제주도의 대표적인 용암동굴이다. 
동굴의 길이는 약 200m, 너비 10m, 높이는 5m 정도의 규모이며, 250십만년 전 한라산 일대의 화산이 폭발하면서 생성되었다. 용암동굴이자 석회동굴의 특징이 복합된 2차원적인 동굴이라는 점이 특이하며, 그 일대가 모래와 조개껍질이 섞여있는 패사층으로 되어 있다. 동굴 내부에는 천장에서 뻗어 나온 석종과 마치 바닥으로부터 솟구쳐 나온 듯이 보이는 석순 등이 신비로운 광경을 연출하며, 석종과 석순이 만나 하나의 기둥을 이루는 종유석이 
기괴하면서 아름답다. 동굴 벽면에는 석회분이 덮여있어 마치 하나의 거대한
벽화가 새겨져 있는 듯 웅장한 모습을 보이고 있다. 동굴 내부의 온도는 연중
내내 17~18℃를 유지하여 한여름의 이색적인 피서지로 각광을 받고 있고, 한 
겨울에는 따뜻한 온도로 추위를 피할 수 있어 각광받고 있다. <br> 협재굴은 천연기념물 제 236호로 지정되어 있고, 페루의 돌소금동굴, 유고의 해중석회동굴과 
더불에 세계 제3대 불가사의 동굴로 꼽힐만큼 유명한 곳이다. 협재굴을 빠져
나오면 바로 옆에 쌍용굴이 자리하고 있어 두 동굴을 함께 돌아볼 수 있다.
<br>",협재굴(한림공원),"제주 한림공원 <a href=""http://www.hallimpark.co.kr/"" target=""_blank"" title=""새창에서 열림"">http://www.hallimpark.co.kr</a>",63011,064-796-0001
128794,12,제주특별자치도 서귀포시 표선면 민속해안로 592,http://tong.visitkorea.or.kr/cms/resource/05/1618205_image2_1.jpg,"서귀포시 표선면 표선리에 위치한 표선해수욕장은 총 면적 158,678m²(48,000여 평)의 해수욕장으로,
 백사장 길이 200m, 폭 800m, 수심 1m 내외이다.
 썰물 때에는 원형의 백사장을 이루고, 밀물 때에는 수심 1m 내외의 원형 호수처럼 되어 
 때에 따라 다른 분위기를 느낄 수 있으며 물이 빠진 단단한 백사장은 아이들이 놀기에도
 알맞은 곳이다. 
 정면으로 볼 수 있는 일출이 유명하며, 백사장 모래는 조개껍데기가루로 형성된 것인데 
 신경통으로 고생하는 사람들이 모래찜질을 하면 특효를 보는 것으로 알려져 있다.
 매년 8월이면 천혜의 아름다운 표선백사장을 소재로 다양한 프로그램과 알찬 내용이 담긴 표선해변백사대축제가 개최되고 있다. 
 편의시설로는 야영장, 주차장, 탈의장, 샤워장이 있으며 인근에 성읍민속마을과 제주민속촌이 있다.
 <br>",표선 해비치 해변,"제주 문화관광 <a href=""http://www.jejutour.go.kr"" target=""_blank"" title=""새창 : 제주 문화관광 사이트로 이동"">http://www.jejutour.go.kr</a>",63629,
